a52dec 0.7.4-11
aalib 1.4rc5-14
absl-py 0.11.0-3
accounts-qml-module 0.7-3
acl 2.2.53-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 3.38.0-1
alacritty 0.7.1-1
alembic 1.7.16-1
alsa-lib 1.2.4-3
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
antlr4-runtime 4.9.1-2
aom 2.0.2-1
apache 2.4.46-3
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-keyring 20210110-1
argon2 20190702-3
aseprite 1.2.25-1
asoundconf 1:1.2-6
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attica 5.79.0-1
attr 2.4.48-3
audit 3.0-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+15+ge8a3dd0-3
babl 0.1.82-1
base 2-2
base16-manager 1.2.1-1
bash 5.1.004-1
bash-completion 2.11-1
bashtrash 20101105-1
bc 1.07.1-4
binutils 2.36-3
bison 3.7.3-1
blas 3.9.0-3
blosc 1.21.0-1
bluez-libs 5.55-2
bmon 4.0-4
boost-libs 1.75.0-2
breeze-icons 5.79.0-1
bridge-utils 1.7-1
brotli 1.0.9-4
btrfs-progs 5.10.1-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.61-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
cblas 3.9.0-3
cdparanoia 10.2-8
chromium 88.0.4324.182-1
cifs-utils 6.12-1
clang 11.0.1-1
cloc 1.88-1
cmake 3.19.5-1
cmark 0.29.0-2
code 1.53.1-1
colord 1.4.5-1
compiler-rt 11.0.1-1
composer 2.0.9-1
confuse 3.3-3
containerd 1.4.3-1
convertlit 1.8-10
coreutils 8.32-1
cronie 1.5.5-2
cryptsetup 2.3.4-2
cups 1:2.3.3op2-1
cups-filters 1.28.7-1
curl 7.75.0-1
dav1d 0.8.1-2
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.11-4
diffutils 3.7-3
discord 0.0.13-1
dmenu 5.0-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.3-2
docker-compose 1.28.2-1
docker-machine 0.16.2-4
dosfstools 4.2-1
double-conversion 3.1.5-2
dunst 1.5.0-1
e2fsprogs 1.46.1-1
ebook-tools 0.2.2-7
